date,grade,province,city,confirmedIncr,curedIncr,deadIncr,confirmedCut,curedCut,deadCut
1-10,province,安徽,,,,,,,
1-10,province,澳门,,,,,,,
1-10,province,福建,,,,,,,
1-10,province,甘肃,,,,,,,
1-10,province,广西,,,,,,,
1-10,province,贵州,,,,,,,
1-10,province,海南,,,,,,,
1-10,province,河北,,,,,,,
1-10,province,黑龙江,,,,,,,
1-10,city,湖北,武汉,41,2,1,,,
1-10,province,湖北,,41,2,1,,,
1-10,province,湖南,,,,,,,
1-10,province,吉林,,,,,,,
1-10,province,江苏,,,,,,,
1-10,province,江西,,,,,,,
1-10,province,辽宁,,,,,,,
1-10,province,内蒙古,,,,,,,
1-10,province,宁夏,,,,,,,
1-10,province,青海,,,,,,,
1-10,province,山东,,,,,,,
1-10,province,山西,,,,,,,
1-10,province,陕西,,,,,,,
1-10,province,上海,,,,,,,
1-10,province,四川,,,,,,,
1-10,province,台湾,,,,,,,
1-10,province,天津,,,,,,,
1-10,province,西藏,,,,,,,
1-10,province,香港,,,,,,,
1-10,province,新疆,,,,,,,
1-10,province,云南,,,,,,,
1-10,province,浙江,,,,,,,
1-10,province,重庆,,,,,,,
1-10,country,,,41,2,1,,,
1-10,province,北京,,,,,,,
1-10,province,河南,,,,,,,
1-10,province,广东,,,,,,,
1-11,province,安徽,,,,,,,
1-11,province,澳门,,,,,,,
1-11,province,福建,,,,,,,
1-11,province,甘肃,,,,,,,
1-11,province,广西,,,,,,,
1-11,province,贵州,,,,,,,
1-11,province,海南,,,,,,,
1-11,province,河北,,,,,,,
1-11,province,黑龙江,,,,,,,
1-11,city,湖北,武汉,,4,,,,
1-11,province,湖北,,,4,,,,
1-11,province,湖南,,,,,,,
1-11,province,吉林,,,,,,,
1-11,province,江苏,,,,,,,
1-11,province,江西,,,,,,,
1-11,province,辽宁,,,,,,,
1-11,province,内蒙古,,,,,,,
1-11,province,宁夏,,,,,,,
1-11,province,青海,,,,,,,
1-11,province,山东,,,,,,,
1-11,province,山西,,,,,,,
1-11,province,陕西,,,,,,,
1-11,province,上海,,,,,,,
1-11,province,四川,,,,,,,
1-11,province,台湾,,,,,,,
1-11,province,天津,,,,,,,
1-11,province,西藏,,,,,,,
1-11,province,香港,,,,,,,
1-11,province,新疆,,,,,,,
1-11,province,云南,,,,,,,
1-11,province,浙江,,,,,,,
1-11,province,重庆,,,,,,,
1-11,country,,,,4,,,,
1-11,province,北京,,,,,,,
1-11,province,河南,,,,,,,
1-11,province,广东,,,,,,,
1-12,province,安徽,,,,,,,
1-12,province,澳门,,,,,,,
1-12,province,福建,,,,,,,
1-12,province,甘肃,,,,,,,
1-12,province,广西,,,,,,,
1-12,province,贵州,,,,,,,
1-12,province,海南,,,,,,,
