states_name,date,ConfirmedCases,Fatalities
AK,20200510,370 ,10 
AK,20200511,370 ,10 
AK,20200512,370 ,10 
AK,20200513,371 ,10 
AK,20200514,371 ,10 
AK,20200515,371 ,10 
AK,20200516,371 ,10 
AK,20200517,371 ,10 
AK,20200518,371 ,10 
AK,20200519,371 ,10 
AK,20200520,371 ,10 
AK,20200521,371 ,10 
AK,20200522,371 ,10 
AK,20200523,371 ,10 
AK,20200524,371 ,10 
AK,20200525,371 ,10 
AK,20200526,371 ,10 
AK,20200527,371 ,10 
AK,20200528,371 ,10 
AK,20200529,371 ,10 
AK,20200530,371 ,10 
AK,20200531,371 ,10 
AK,20200601,371 ,10 
AK,20200602,371 ,10 
AK,20200603,371 ,10 
AK,20200604,371 ,10 
AK,20200605,371 ,10 
AK,20200606,371 ,10 
AK,20200607,371 ,10 
AK,20200608,371 ,10 
AK,20200609,371 ,10 
AK,20200610,371 ,10 
AK,20200611,371 ,10 
AK,20200612,371 ,10 
AK,20200613,371 ,10 
AK,20200614,371 ,10 
AK,20200615,371 ,10 
AK,20200616,371 ,10 
AK,20200617,371 ,10 
AK,20200618,371 ,10 
AK,20200619,371 ,10 
AK,20200620,371 ,10 
AK,20200621,371 ,10 
AK,20200622,371 ,10 
AK,20200623,371 ,10 
AK,20200624,371 ,10 
AK,20200625,371 ,10 
AK,20200626,371 ,10 
AK,20200627,371 ,10 
AK,20200628,371 ,10 
AK,20200629,371 ,10 
AK,20200630,371 ,10 
AL,20200510,12635 ,602 
AL,20200511,13706 ,671 
AL,20200512,14833 ,747 
AL,20200513,16015 ,829 
AL,20200514,17245 ,918 
AL,20200515,18525 ,1014 
AL,20200516,19856 ,1118 
AL,20200517,21237 ,1229 
AL,20200518,22665 ,1348 
AL,20200519,24134 ,1475 
AL,20200520,25641 ,1610 
AL,20200521,27186 ,1754 
AL,20200522,28768 ,1906 
AL,20200523,30382 ,2067 
AL,20200524,32025 ,2237 
AL,20200525,33690 ,2416 
AL,20200526,35373 ,2604 
AL,20200527,37074 ,2800 
AL,20200528,38791 ,3006 
AL,20200529,40518 ,3220 
AL,20200530,42252 ,3442 
AL,20200531,43984 ,3674 
AL,20200601,45712 ,3913 
AL,20200602,47435 ,4161 
AL,20200603,49149 ,4417 
AL,20200604,50853 ,4680 
AL,20200605,52542 ,4950 
AL,20200606,54210 ,5226 
AL,20200607,55853 ,5510 
AL,20200608,57470 ,5800 
AL,20200609,59060 ,6095 
AL,20200610,60622 ,6395 
AL,20200611,62152 ,6700 
AL,20200612,63647 ,7009 
AL,20200613,65104 ,7322 
AL,20200614,66522 ,7638 
AL,20200615,67900 ,7957 
AL,20200616,69239 ,8278 
AL,20200617,70536 ,8601 
AL,20200618,71792 ,8925 
AL,20200619,73005 ,9249 
AL,20200620,74173 ,9574 
AL,20200621,75297 ,9898 
AL,20200622,76378 ,10222 
AL,20200623,77415 ,10544 
AL,20200624,78409 ,10865 
AL,20200625,79360 ,11183 
AL,20200626,80269 ,11499 
AL,20200627,81137 ,11811 
AL,20200628,81963 ,12120 
AL,20200629,82748 ,12426 
AL,20200630,83495 ,12727 
AR,20200510,3768 ,92 
AR,20200511,3802 ,95 
AR,20200512,3832 ,97 
AR,20200513,3860 ,99 
AR,20200514,3885 ,101 
AR,20200515,3908 ,103 
AR,20200516,3928 ,105 
AR,20200517,3947 ,107 
AR,20200518,3963 ,108 
AR,20200519,3978 ,110 
AR,20200520,3991 ,111 
AR,20200521,4003 ,112 
AR,20200522,4013 ,114 
AR,20200523,4023 ,115 
AR,20200524,4031 ,116 
AR,20200525,4038 ,117 
AR,20200526,4045 ,118 
AR,20200527,4050 ,119 
AR,20200528,4056 ,119 
AR,20200529,4060 ,120 
AR,20200530,4064 ,121 
AR,20200531,4067 ,121 
AR,20200601,4071 ,122 
AR,20200602,4073 ,122 
AR,20200603,4076 ,123 
AR,20200604,4078 ,123 
AR,20200605,4079 ,124 
AR,20200606,4081 ,124 
AR,20200607,4082 ,125 
AR,20200608,4084 ,125 
AR,20200609,4085 ,125 
AR,20200610,4085 ,125 
AR,20200611,4086 ,126 
AR,20200612,4087 ,126 
AR,20200613,4088 ,126 
AR,20200614,4088 ,126 
AR,20200615,4088 ,126 
AR,20200616,4089 ,126 
AR,20200617,4089 ,127 
AR,20200618,4090 ,127 
AR,20200619,4090 ,127 
AR,20200620,4090 ,127 
AR,20200621,4090 ,127 
AR,20200622,4090 ,127 
AR,20200623,4090 ,127 
AR,20200624,4091 ,127 
AR,20200625,4091 ,127 
AR,20200626,4091 ,127 
AR,20200627,4091 ,127 
AR,20200628,4091 ,127 
AR,20200629,4091 ,127 
AR,20200630,4091 ,127 
AZ,20200510,11127 ,632 
AZ,20200511,11391 ,672 
AZ,20200512,11636 ,714 
AZ,20200513,11863 ,755 
AZ,20200514,12072 ,797 
AZ,20200515,12264 ,838 
AZ,20200516,12439 ,879 
AZ,20200517,12599 ,920 
AZ,20200518,12742 ,961 
AZ,20200519,12871 ,1001 
AZ,20200520,12987 ,1040 
AZ,20200521,13093 ,1078 
AZ,20200522,13187 ,1116 
AZ,20200523,13272 ,1152 
AZ,20200524,13346 ,1187 
AZ,20200525,13412 ,1222 
AZ,20200526,13470 ,1255 
AZ,20200527,13521 ,1287 
AZ,20200528,13567 ,1317 
AZ,20200529,13607 ,1347 
AZ,20200530,13643 ,1375 
AZ,20200531,13674 ,1402 
AZ,20200601,13701 ,1428 
AZ,20200602,13724 ,1452 
AZ,20200603,13744 ,1476 
AZ,20200604,13761 ,1498 
AZ,20200605,13777 ,1519 
AZ,20200606,13790 ,1539 
AZ,20200607,13802 ,1558 
AZ,20200608,13812 ,1576 
AZ,20200609,13821 ,1593 
AZ,20200610,13828 ,1609 
AZ,20200611,13834 ,1624 
AZ,20200612,13839 ,1638 
AZ,20200613,13844 ,1651 
AZ,20200614,13848 ,1663 
AZ,20200615,13852 ,1675 
AZ,20200616,13855 ,1686 
AZ,20200617,13858 ,1696 
AZ,20200618,13860 ,1706 
AZ,20200619,13861 ,1715 
AZ,20200620,13863 ,1724 
AZ,20200621,13864 ,1732 
AZ,20200622,13865 ,1739 
AZ,20200623,13867 ,1746 
AZ,20200624,13868 ,1752 
AZ,20200625,13868 ,1758 
AZ,20200626,13869 ,1764 
AZ,20200627,13869 ,1769 
AZ,20200628,13870 ,1774 
AZ,20200629,13870 ,1779 
