date,states_name,ConfirmedCases,Fatalities
20200704,AK,984,15
20200705,AK,993,15
20200706,AK,1002,16
20200707,AK,1011,16
20200708,AK,1019,16
20200709,AK,1027,16
20200710,AK,1035,17
20200711,AK,1043,17
20200712,AK,1050,17
20200713,AK,1057,17
20200714,AK,1064,18
20200715,AK,1071,18
20200716,AK,1077,18
20200717,AK,1084,18
20200718,AK,1090,19
20200719,AK,1096,19
20200720,AK,1101,19
20200721,AK,1107,19
20200722,AK,1112,19
20200723,AK,1117,20
20200724,AK,1122,20
20200725,AK,1127,20
20200726,AK,1131,20
20200727,AK,1136,20
20200728,AK,1140,20
20200729,AK,1144,21
20200730,AK,1148,21
20200731,AK,1152,21
20200801,AK,1156,21
20200802,AK,1159,21
20200803,AK,1162,21
20200804,AK,1165,22
20200805,AK,1168,22
20200806,AK,1171,22
20200807,AK,1174,22
20200808,AK,1177,22
20200809,AK,1179,22
20200810,AK,1181,22
20200811,AK,1184,22
20200812,AK,1186,23
20200813,AK,1188,23
20200814,AK,1190,23
20200815,AK,1192,23
20200816,AK,1194,23
20200817,AK,1195,23
20200818,AK,1197,23
20200819,AK,1199,23
20200820,AK,1200,23
20200821,AK,1202,23
20200822,AK,1203,23
20200823,AK,1204,24
20200824,AK,1205,24
20200825,AK,1207,24
20200826,AK,1208,24
20200827,AK,1209,24
20200828,AK,1210,24
20200829,AK,1211,24
20200830,AK,1212,24
20200704,AS,0,0
20200705,AS,0,0
20200706,AS,0,0
20200707,AS,0,0
20200708,AS,0,0
20200709,AS,0,0
20200710,AS,0,0
20200711,AS,0,0
20200712,AS,0,0
20200713,AS,0,0
20200714,AS,0,0
20200715,AS,0,0
20200716,AS,0,0
20200717,AS,0,0
20200718,AS,0,0
20200719,AS,0,0
20200720,AS,0,0
20200721,AS,0,0
20200722,AS,0,0
20200723,AS,0,0
20200724,AS,0,0
20200725,AS,0,0
20200726,AS,0,0
20200727,AS,0,0
20200728,AS,0,0
20200729,AS,0,0
20200730,AS,0,0
20200731,AS,0,0
20200801,AS,0,0
20200802,AS,0,0
20200803,AS,0,0
20200804,AS,0,0
20200805,AS,0,0
20200806,AS,0,0
20200807,AS,0,0
20200808,AS,0,0
20200809,AS,0,0
20200810,AS,0,0
20200811,AS,0,0
20200812,AS,0,0
20200813,AS,0,0
20200814,AS,0,0
20200815,AS,0,0
20200816,AS,0,0
20200817,AS,0,0
20200818,AS,0,0
20200819,AS,0,0
20200820,AS,0,0
20200821,AS,0,0
20200822,AS,0,0
20200823,AS,0,0
20200824,AS,0,0
20200825,AS,0,0
20200826,AS,0,0
20200827,AS,0,0
20200828,AS,0,0
20200829,AS,0,0
20200830,AS,0,0
20200704,AL,40505,1047
20200705,AL,41095,1065
20200706,AL,41674,1083
20200707,AL,42241,1101
20200708,AL,42796,1118
20200709,AL,43339,1135
20200710,AL,43869,1152
20200711,AL,44388,1168
20200712,AL,44894,1184
20200713,AL,45387,1200
20200714,AL,45868,1216
20200715,AL,46336,1230
20200716,AL,46792,1245
20200717,AL,47236,1260
20200718,AL,47667,1274
20200719,AL,48085,1288
20200720,AL,48491,1301
20200721,AL,48886,1314
20200722,AL,49268,1327
20200723,AL,49638,1339
20200724,AL,49996,1351
20200725,AL,50343,1362
20200726,AL,50678,1374
20200727,AL,51002,1385
20200728,AL,51315,1395
20200729,AL,51617,1406
20200730,AL,51908,1415
20200731,AL,52189,1425
20200801,AL,52459,1434
20200802,AL,52719,1443
20200803,AL,52970,1452
20200804,AL,53211,1460
20200805,AL,53443,1468
20200806,AL,53665,1476
20200807,AL,53879,1484
20200808,AL,54084,1491
20200809,AL,54281,1498
20200810,AL,54469,1505
20200811,AL,54650,1511
20200812,AL,54823,1517
20200813,AL,54988,1523
20200814,AL,55146,1529
20200815,AL,55298,1534
