date,ML,Low_90,High_90
2020-03-01,0.0,0.0,10.81
2020-03-02,0.9400000000000001,0.7000000000000001,1.1500000000000001
2020-03-03,1.21,1.0,1.4000000000000001
2020-03-04,1.27,1.07,1.46
2020-03-05,1.45,1.25,1.6300000000000001
2020-03-06,1.5,1.29,1.6600000000000001
2020-03-07,1.58,1.37,1.73
2020-03-08,1.62,1.44,1.78
2020-03-09,1.8,1.61,1.94
2020-03-10,2.09,1.94,2.24
2020-03-11,2.24,2.09,2.37
2020-03-12,2.37,2.22,2.48
2020-03-13,2.23,2.09,2.33
2020-03-14,2.0100000000000002,1.8900000000000001,2.11
2020-03-15,1.93,1.81,2.02
2020-03-16,2.0,1.8800000000000001,2.08
2020-03-17,2.04,1.95,2.13
2020-03-18,2.2600000000000002,2.16,2.33
2020-03-19,2.13,2.04,2.2
2020-03-20,2.16,2.08,2.22
2020-03-21,1.93,1.84,1.98
2020-03-22,1.77,1.7,1.83
2020-03-23,1.71,1.6400000000000001,1.76
2020-03-24,1.8,1.73,1.85
2020-03-25,1.8,1.73,1.84
2020-03-26,1.8,1.74,1.84
2020-03-27,1.57,1.51,1.61
2020-03-28,1.44,1.3800000000000001,1.48
2020-03-29,1.31,1.25,1.35
2020-03-30,1.26,1.21,1.3
2020-03-31,1.33,1.28,1.37
2020-04-01,1.54,1.48,1.57
2020-04-02,1.43,1.37,1.46
2020-04-03,1.27,1.21,1.3
2020-04-04,1.06,1.02,1.1
2020-04-05,0.88,0.8200000000000001,0.91
2020-04-06,0.84,0.79,0.88
2020-04-07,0.9500000000000001,0.89,0.98
2020-04-08,1.11,1.05,1.1400000000000001
2020-04-09,1.22,1.17,1.25
2020-04-10,1.1,1.05,1.1300000000000001
2020-04-11,0.9400000000000001,0.89,0.97
2020-04-12,0.8200000000000001,0.76,0.85
2020-04-13,0.88,0.8200000000000001,0.91
2020-04-14,0.6900000000000001,0.64,0.73
2020-04-15,1.04,0.98,1.07
2020-04-16,1.16,1.1,1.19
2020-04-17,1.16,1.1,1.19
2020-04-18,1.1,1.05,1.1300000000000001
2020-04-19,1.04,1.0,1.08
2020-04-20,0.87,0.81,0.9
2020-04-21,1.06,1.0,1.09
2020-04-22,0.99,0.93,1.02
2020-04-23,1.21,1.16,1.24
2020-04-24,1.21,1.16,1.24
2020-04-25,0.99,0.9400000000000001,1.02
2020-04-26,0.8,0.75,0.8300000000000001
2020-04-27,0.76,0.7000000000000001,0.79
2020-04-28,0.81,0.75,0.84
2020-04-29,0.99,0.93,1.02
2020-04-30,1.22,1.16,1.25
2020-05-01,1.19,1.1500000000000001,1.23
2020-05-02,1.11,1.06,1.1400000000000001
2020-05-03,0.99,0.9500000000000001,1.03
2020-05-04,0.99,0.9400000000000001,1.02
2020-05-05,1.08,1.03,1.11
2020-05-06,1.16,1.12,1.2
2020-05-07,1.17,1.1300000000000001,1.21
2020-05-08,1.11,1.06,1.1400000000000001
2020-05-09,0.81,0.76,0.84
2020-05-10,0.72,0.67,0.75
2020-05-11,0.59,0.54,0.63
2020-05-12,0.51,0.45,0.54
