date,北京市,天津市,石家庄市,唐山市,秦皇岛市,邯郸市,邢台市,保定市,张家口市,承德市,沧州市,廊坊市,衡水市,太原市,大同市,阳泉市,长治市,晋城市,朔州市,晋中市,运城市,忻州市,临汾市,吕梁市,呼和浩特市,包头市,乌海市,赤峰市,通辽市,鄂尔多斯市,呼伦贝尔市,巴彦淖尔市,乌兰察布市,兴安盟,锡林郭勒盟,阿拉善盟,沈阳市,大连市,鞍山市,抚顺市,本溪市,丹东市,锦州市,营口市,阜新市,辽阳市,盘锦市,铁岭市,朝阳市,葫芦岛市,长春市,吉林市,四平市,辽源市,通化市,白山市,松原市,白城市,延边朝鲜族自治州,哈尔滨市,齐齐哈尔市,鸡西市,鹤岗市,双鸭山市,大庆市,伊春市,佳木斯市,七台河市,牡丹江市,黑河市,绥化市,大兴安岭地区,上海市,南京市,无锡市,徐州市,常州市,苏州市,南通市,连云港市,淮安市,盐城市,扬州市,镇江市,泰州市,宿迁市,杭州市,宁波市,温州市,嘉兴市,湖州市,绍兴市,金华市,衢州市,舟山市,台州市,丽水市,合肥市,芜湖市,蚌埠市,淮南市,马鞍山市,淮北市,铜陵市,安庆市,黄山市,滁州市,阜阳市,341300,六安市,亳州市,池州市,宣城市,福州市,厦门市,莆田市,三明市,泉州市,漳州市,南平市,龙岩市,宁德市,南昌市,景德镇市,萍乡市,九江市,新余市,鹰潭市,赣州市,吉安市,宜春市,抚州市,上饶市,济南市,青岛市,淄博市,枣庄市,东营市,烟台市,潍坊市,济宁市,泰安市,威海市,日照市,莱芜市,临沂市,德州市,聊城市,滨州市,菏泽市,郑州市,开封市,洛阳市,平顶山市,安阳市,鹤壁市,新乡市,焦作市,濮阳市,许昌市,漯河市,三门峡市,南阳市,商丘市,信阳市,周口市,驻马店市,济源市,武汉市,黄石市,十堰市,宜昌市,襄阳市,鄂州市,荆门市,孝感市,荆州市,黄冈市,咸宁市,随州市,恩施土家族苗族自治州,仙桃市,潜江市,天门市,神农架林区,长沙市,株洲市,湘潭市,衡阳市,邵阳市,岳阳市,常德市,张家界市,益阳市,郴州市,永州市,怀化市,娄底市,湘西土家族苗族自治州,广州市,韶关市,深圳市,珠海市,汕头市,佛山市,江门市,湛江市,茂名市,肇庆市,惠州市,梅州市,汕尾市,河源市,阳江市,清远市,东莞市,中山市,东沙群岛,潮州市,揭阳市,云浮市,南宁市,柳州市,桂林市,梧州市,北海市,防城港市,钦州市,贵港市,玉林市,百色市,贺州市,河池市,来宾市,崇左市,海口市,三亚市,三沙市,儋州市,五指山市,琼海市,文昌市,万宁市,东方市,定安县,屯昌县,澄迈县,临高县,白沙黎族自治县,昌江黎族自治县,乐东黎族自治县,陵水黎族自治县,保亭黎族苗族自治县,琼中黎族苗族自治县,重庆市,成都市,自贡市,攀枝花市,泸州市,德阳市,绵阳市,广元市,遂宁市,内江市,乐山市,南充市,眉山市,宜宾市,广安市,达州市,雅安市,巴中市,资阳市,阿坝藏族羌族自治州,甘孜藏族自治州,凉山彝族自治州,贵阳市,六盘水市,遵义市,安顺市,毕节市,铜仁市,黔西南布依族苗族自治州,黔东南苗族侗族自治州,黔南布依族苗族自治州,昆明市,曲靖市,玉溪市,保山市,昭通市,丽江市,普洱市,临沧市,楚雄彝族自治州,红河哈尼族彝族自治州,文山壮族苗族自治州,西双版纳傣族自治州,大理白族自治州,德宏傣族景颇族自治州,怒江傈僳族自治州,迪庆藏族自治州,拉萨市,日喀则市,昌都市,林芝市,山南市,那曲地区,阿里地区,西安市,铜川市,宝鸡市,咸阳市,渭南市,延安市,汉中市,榆林市,安康市,商洛市,兰州市,嘉峪关市,金昌市,白银市,天水市,武威市,张掖市,平凉市,酒泉市,庆阳市,定西市,陇南市,临夏回族自治州,甘南藏族自治州,西宁市,海东市,海北藏族自治州,黄南藏族自治州,海南藏族自治州,果洛藏族自治州,玉树藏族自治州,海西蒙古族藏族自治州,银川市,石嘴山市,吴忠市,固原市,中卫市,乌鲁木齐市,克拉玛依市,吐鲁番市,哈密市,昌吉回族自治州,博尔塔拉蒙古族自治州,巴音郭楞蒙古自治州,阿克苏地区,克孜勒苏柯尔克孜自治州,喀什地区,和田地区,伊犁哈萨克自治州,塔城地区,阿勒泰地区,石河子市,阿拉尔市,图木舒克市,五家渠市,北屯市,铁门关市,双河市,可克达拉市,昆玉市,台湾,香港,澳门
2020-02-28,422,122,81,43,18,49,29,71,21,15,39,50,18,51,17,8,22,19,7,21,33,14,28,19,26,22,4,14,10,15,12,10,8,5,7,3,54,47,11,7,5,7,10,8,5,5,5,7,7,8,50,19,9,3,7,4,7,5,14,54,14,5,3,5,12,3,10,3,12,5,10,1,484,131,105,59,67,224,71,30,31,44,40,33,38,28,214,114,201,82,41,68,104,22,14,98,26,141,34,22,23,18,15,12,56,12,24,58,27,35,28,13,19,121,80,38,24,122,39,25,24,31,141,22,22,160,15,10,81,37,58,35,51,59,78,25,15,14,47,44,34,21,22,13,4,45,19,24,15,29,256,37,85,55,42,13,57,39,24,44,31,22,207,62,153,65,94,8,44713,502,298,492,569,280,365,891,544,632,388,271,168,232,141,114,8,311,65,45,67,49,156,111,24,53,44,34,41,42,37,507,29,571,44,68,194,64,44,33,39,108,30,20,27,19,38,315,107,0,24,45,18,75,35,41,18,18,10,15,20,28,16,11,14,9,9,43,19,0,6,1,5,4,3,3,2,1,3,2,1,2,2,3,1,1,416,201,11,7,21,18,30,12,15,14,16,31,14,21,20,32,7,14,10,4,3,14,56,13,42,12,20,22,13,23,19,76,19,11,7,13,7,6,6,8,15,11,7,14,6,1,2,10,2,2,2,2,1,1,153,4,21,31,29,15,22,21,36,12,45,3,3,8,14,7,8,8,8,10,7,8,5,2,25,5,1,1,2,1,1,6,26,5,7,4,5,47,5,3,6,13,5,13,9,2,9,2,14,7,3,5,1,1,1,1,0,1,0,0,18,17,4
2020-02-29,406,118,78,42,18,47,28,69,21,14,38,48,17,49,16,7,21,18,7,20,32,13,27,18,26,22,4,13,10,14,12,10,8,4,6,3,52,45,11,7,4,7,9,8,5,5,5,7,6,8,49,18,9,3,7,4,7,5,13,52,13,5,3,5,12,3,10,2,11,5,9,1,466,126,101,57,65,215,68,29,30,43,39,32,37,27,207,110,194,79,39,66,100,21,13,94,25,135,32,22,22,17,14,12,54,12,23,56,26,34,27,12,19,117,77,37,23,117,38,24,23,30,136,21,21,153,14,10,78,35,56,33,49,57,75,24,15,14,46,42,33,20,21,12,4,44,19,23,15,28,247,36,82,53,40,12,55,38,23,42,29,21,199,59,146,62,90,8,44634,480,285,471,544,267,349,849,519,601,369,259,161,221,135,109,7,299,63,43,64,48,149,106,23,51,42,33,40,41,36,489,28,550,43,66,187,62,42,32,38,104,29,20,26,18,37,303,103,0,23,43,17,72,34,40,18,17,9,14,19,27,15,11,14,9,9,41,19,0,6,1,5,4,3,3,2,1,3,2,1,2,2,3,1,1,400,193,10,7,20,18,29,12,15,13,15,30,13,20,20,31,7,14,9,4,3,14,54,12,40,12,19,22,13,22,18,73,18,11,7,12,7,6,6,7,15,10,7,14,6,1,2,9,2,1,2,2,1,0,147,4,21,30,28,14,21,20,34,11,43,3,3,8,14,7,8,7,8,10,7,8,5,2,24,5,1,1,2,1,1,5,25,4,7,4,5,45,5,3,6,12,4,13,8,2,9,2,13,7,3,5,1,1,1,1,0,1,0,0,17,16,3
2020-03-01,391,113,75,40,17,45,27,66,20,14,36,46,16,48,16,7,21,18,6,20,31,13,26,18,25,21,4,13,9,14,11,9,8,4,6,3,50,44,10,7,4,6,9,7,5,5,5,7,6,8,47,17,8,3,7,4,7,5,13,51,13,5,3,5,11,3,10,2,11,5,9,1,448,122,97,55,62,208,65,28,29,41,37,31,36,26,199,106,186,76,38,63,96,21,13,91,24,130,31,21,21,17,14,11,52,12,23,54,25,32,26,12,18,112,74,35,22,113,36,23,22,29,130,20,20,147,14,10,75,34,54,32,47,55,72,24,14,13,44,41,32,19,21,12,4,42,18,22,14,27,237,35,79,51,39,12,53,36,22,41,28,20,191,57,139,60,86,8,44554,458,273,451,520,255,333,809,495,571,352,247,153,211,129,104,7,287,60,41,62,46,143,102,22,49,41,32,39,39,34,471,27,529,41,64,180,60,41,31,37,100,28,19,25,18,35,292,99,0,22,42,16,70,33,38,17,17,9,14,19,26,15,11,13,9,8,40,18,0,6,1,5,4,3,3,2,1,3,2,1,2,2,3,1,1,384,186,10,7,19,17,28,11,14,13,14,29,13,20,19,30,7,13,9,4,3,13,52,12,39,12,18,21,12,21,17,70,17,10,6,12,7,6,5,7,14,10,7,13,6,1,2,9,1,1,2,1,1,0,142,4,20,29,27,14,20,19,33,11,42,3,3,8,13,7,8,7,8,10,7,8,5,2,23,5,1,1,2,1,1,5,24,4,6,4,5,44,5,3,5,12,4,12,8,2,8,2,13,6,3,4,1,1,1,1,0,0,0,0,17,16,3
2020-03-02,376,109,73,39,16,44,26,64,19,13,35,45,16,46,15,7,20,17,6,19,30,12,25,17,24,20,4,12,9,13,11,9,7,4,6,2,48,42,10,6,4,6,9,7,4,5,5,6,6,7,45,17,8,3,7,4,7,5,12,49,12,5,3,4,11,3,9,2,10,4,9,1,431,117,94,53,60,200,63,27,28,40,36,30,34,25,192,102,179,73,36,61,93,20,12,87,23,125,30,20,20,16,13,11,50,11,22,52,24,31,25,11,17,108,71,34,21,109,35,22,21,28,125,20,19,140,13,9,72,33,52,31,46,53,70,23,14,13,42,39,31,18,20,11,4,40,17,21,14,26,228,33,76,49,38,11,51,35,21,39,27,20,183,55,133,58,82,8,44473,438,261,431,497,243,318,770,472,543,335,235,146,201,123,99,7,276,58,40,60,44,137,98,21,48,39,30,37,38,33,453,26,509,40,61,173,57,39,30,35,97,27,18,24,17,34,281,96,0,21,40,16,67,32,37,16,16,9,13,18,25,14,10,13,8,8,38,17,0,5,1,5,3,3,2,2,1,3,2,1,1,2,3,1,1,369,180,10,6,19,17,27,11,14,12,14,28,12,19,18,29,7,13,9,4,3,13,50,12,37,11,18,20,12,21,17,68,17,10,6,12,7,5,5,7,14,9,6,13,6,1,2,9,1,1,2,1,1,0,137,4,19,28,26,13,19,19,32,10,40,3,3,7,13,7,7,7,7,9,7,7,5,2,22,4,1,1,2,1,1,5,23,4,6,3,4,42,4,3,5,11,4,12,8,2,8,2,12,6,3,4,1,1,1,1,0,0,0,0,16,15,3
2020-03-03,361,106,70,37,16,42,25,62,18,13,34,43,15,44,15,7,19,16,6,18,29,12,24,16,23,19,3,12,9,13,11,9,7,4,6,2,47,41,10,6,4,6,8,7,4,5,4,6,6,7,43,16,8,3,6,4,6,5,12,47,12,5,3,4,11,3,9,2,10,4,9,1,415,113,90,51,58,193,61,26,27,38,35,29,33,24,184,99,172,70,35,59,89,19,12,84,22,120,29,19,20,16,13,11,47,11,21,50,23,30,24,11,17,104,69,33,20,105,34,21,21,27,120,19,19,135,13,9,70,31,50,30,44,51,67,22,13,12,41,38,30,18,19,11,3,39,17,20,13,25,220,32,74,47,36,11,49,34,21,38,26,19,176,53,127,55,79,7,44390,419,249,412,475,232,304,734,451,516,319,224,140,192,117,95,6,265,56,38,57,43,132,94,20,46,38,29,36,36,32,436,25,490,38,59,167,55,38,29,34,93,26,18,24,16,33,271,92,0,21,39,15,65,31,35,16,15,8,13,17,24,14,10,12,8,8,37,17,0,5,1,4,3,3,2,1,1,3,2,1,1,2,3,1,1,355,173,9,6,18,16,26,11,13,12,13,27,12,18,18,28,6,12,8,4,3,12,49,11,36,11,17,19,12,20,16,65,16,10,6,11,6,5,5,7,13,9,6,12,6,1,2,8,1,1,1,1,1,0,132,4,18,27,25,13,19,18,30,10,39,3,3,7,12,6,7,7,7,9,6,7,4,2,21,4,1,1,2,1,1,5,22,4,6,3,4,41,4,3,5,11,4,12,8,1,8,2,12,6,3,4,1,1,1,1,0,0,0,0,16,15,3
2020-03-04,347,102,68,36,15,40,24,59,18,12,32,42,15,43,14,6,18,16,6,18,28,11,23,16,22,19,3,12,8,12,10,8,7,4,5,2,45,39,9,6,4,6,8,7,4,4,4,6,6,7,42,16,7,3,6,4,6,5,12,45,11,4,3,4,10,3,9,2,10,4,8,1,399,109,87,49,56,186,58,25,26,37,33,28,32,23,178,95,166,67,34,57,86,18,11,81,21,116,28,19,19,15,12,10,45,10,20,48,22,29,23,10,16,100,66,31,20,101,32,20,20,26,116,18,18,129,12,9,67,30,48,29,42,49,65,21,13,12,39,37,29,17,18,10,3,38,16,20,13,25,212,31,71,45,35,11,48,32,20,37,25,18,169,51,121,53,76,7,44307,400,238,394,454,221,290,699,430,491,304,214,133,183,112,90,6,255,54,37,55,41,126,91,20,44,36,28,35,35,31,420,24,472,37,57,161,53,36,28,33,90,25,17,23,16,32,261,89,0,20,37,15,63,29,34,15,15,8,13,17,23,13,10,12,8,7,35,16,0,5,1,4,3,3,2,1,1,3,2,1,1,2,3,1,1,341,167,9,6,17,15,25,10,13,12,13,26,11,18,17,27,6,12,8,3,3,12,47,11,35,10,17,19,11,19,16,63,16,9,6,11,6,5,5,6,13,9,6,12,5,1,2,8,1,1,1,1,1,0,127,4,18,26,24,13,18,17,29,10,37,3,3,7,12,6,7,6,7,9,6,7,4,2,20,4,1,1,2,1,1,5,21,4,6,3,4,39,4,2,5,11,4,11,7,1,7,1,12,6,3,4,1,1,1,1,0,0,0,0,15,14,3
2020-03-05,334,98,65,35,15,39,23,57,17,12,31,40,14,41,14,6,18,15,6,17,27,11,22,15,21,18,3,11,8,12,10,8,7,4,5,2,43,38,9,6,4,6,8,6,4,4,4,6,5,7,40,15,7,3,6,4,6,4,11,44,11,4,3,4,10,3,8,2,9,4,8,1,384,105,83,48,54,179,56,24,25,36,32,27,31,23,171,92,160,65,32,55,82,18,11,78,21,111,27,18,18,14,12,10,44,10,19,46,21,28,22,10,15,97,64,30,19,97,31,20,19,25,111,17,17,124,12,8,65,29,46,28,41,47,62,20,12,11,38,35,28,17,18,10,3,36,16,19,12,24,204,30,68,44,34,10,46,31,19,35,24,17,162,49,115,51,73,7,44223,382,228,377,434,211,277,665,410,466,289,204,127,175,107,86,6,245,52,36,53,40,121,87,19,42,35,27,33,34,29,404,23,454,36,55,155,51,35,27,32,87,24,16,22,15,31,251,85,0,19,36,14,60,28,33,15,14,8,12,16,23,13,9,12,8,7,34,15,0,5,1,4,3,3,2,1,1,3,2,1,1,2,3,1,1,328,161,9,6,17,15,24,10,12,11,13,25,11,17,16,26,6,11,8,3,3,11,45,10,34,10,16,18,11,18,15,61,15,9,5,10,6,5,5,6,12,9,6,11,5,1,2,8,1,1,1,1,1,0,122,3,17,25,23,12,17,17,28,9,36,2,2,7,12,6,7,6,7,8,6,7,4,2,20,4,1,1,2,1,1,4,21,4,5,3,4,38,4,2,5,10,4,11,7,1,7,1,11,5,3,4,1,1,1,1,0,0,0,0,14,14,3
2020-03-06,321,95,63,34,14,38,22,55,16,11,30,39,14,40,13,6,17,15,5,16,26,11,22,15,20,17,3,11,8,11,10,8,6,4,5,2,42,36,9,6,4,5,8,6,4,4,4,6,5,6,39,15,7,2,6,3,6,4,11,42,11,4,3,4,9,3,8,2,9,4,8,1,369,101,80,46,52,172,54,23,24,34,31,26,29,22,165,89,154,63,31,53,79,17,10,75,20,107,26,17,18,14,12,9,42,10,19,44,21,27,22,10,15,93,62,29,18,93,30,19,18,24,107,17,17,118,12,8,62,28,44,27,39,46,60,20,12,11,37,34,27,16,17,10,3,35,15,18,12,23,196,29,66,42,32,10,44,30,18,34,23,17,156,47,110,49,69,7,44138,365,218,361,415,201,265,634,391,443,275,195,122,167,103,82,6,236,50,34,51,38,116,83,18,41,34,26,32,32,28,389,22,437,34,53,149,49,34,26,30,83,23,16,21,15,29,242,82,0,18,35,14,58,27,31,14,14,7,12,16,22,12,9,11,7,7,33,15,0,5,1,4,3,3,2,1,1,3,2,1,1,2,2,1,1,315,155,8,6,16,14,23,10,12,11,12,24,11,16,16,25,6,11,7,3,3,11,44,10,32,10,15,17,10,18,15,58,14,9,5,10,6,5,4,6,12,8,6,11,5,1,2,7,1,1,1,1,1,0,118,3,17,24,22,12,17,16,27,9,35,2,2,6,11,6,6,6,6,8,6,6,4,2,19,4,1,1,1,1,1,4,20,4,5,3,4,36,4,2,5,10,3,10,7,1,7,1,11,5,3,4,1,1,1,1,0,0,0,0,14,13,3
2020-03-07,309,91,61,32,14,36,22,53,16,11,29,37,13,38,13,6,16,14,5,16,25,10,21,14,20,17,3,10,7,11,9,8,6,3,5,2,40,35,8,5,3,5,7,6,4,4,4,5,5,6,37,14,7,2,6,3,6,4,10,41,10,4,3,4,9,3,8,2,9,4,7,1,355,97,77,44,50,166,52,22,23,33,30,25,28,21,158,85,148,60,30,51,76,16,10,72,19,103,25,17,17,13,11,9,40,9,18,42,20,25,21,9,14,89,59,28,18,90,29,18,18,23,103,16,16,113,11,8,60,27,42,26,38,44,58,19,11,11,35,33,26,15,16,9,3,34,15,18,11,22,189,28,63,40,31,9,43,29,18,33,22,16,149,45,105,47,67,6,44052,349,208,345,396,192,253,604,373,422,262,186,116,159,98,78,5,227,48,33,49,37,112,80,17,39,33,25,31,31,27,375,22,420,33,51,143,48,33,25,29,80,22,15,20,14,28,233,79,0,18,33,13,56,26,30,14,13,7,11,15,21,12,9,11,7,7,31,14,0,4,1,4,3,3,2,1,1,2,1,1,1,2,2,1,1,303,150,8,5,16,14,22,9,12,10,12,23,10,16,15,24,5,11,7,3,3,11,42,10,31,9,15,17,10,17,14,56,14,8,5,10,5,5,4,6,12,8,5,11,5,1,1,7,1,1,1,1,1,0,113,3,16,23,21,11,16,16,26,9,33,2,2,6,11,6,6,6,6,8,6,6,4,2,18,4,1,1,1,1,1,4,19,3,5,3,4,35,4,2,4,9,3,10,7,1,7,1,10,5,3,4,1,1,1,1,0,0,0,0,13,13,3
2020-03-08,297,88,58,31,13,35,21,51,15,11,28,36,13,37,12,5,16,14,5,15,24,10,20,14,19,16,3,10,7,11,9,7,6,3,5,2,39,34,8,5,3,5,7,6,4,4,4,5,5,6,36,14,6,2,5,3,5,4,10,39,10,4,2,4,9,2,7,2,8,4,7,1,342,93,74,43,48,160,50,22,22,32,29,24,27,20,153,82,142,58,29,49,73,16,10,69,18,99,24,16,16,13,11,9,38,9,17,40,19,24,20,9,14,86,57,27,17,87,28,18,17,22,99,16,15,109,11,7,58,26,41,25,36,42,55,18,11,10,34,32,25,15,16,9,3,33,14,17,11,21,181,27,61,39,30,9,41,28,17,32,21,16,143,43,100,45,64,6,43965,333,199,330,379,183,242,575,356,401,250,177,111,152,94,75,5,218,46,32,47,35,107,77,17,38,31,24,30,30,26,361,21,404,32,49,138,46,31,24,28,77,21,15,20,14,27,224,76,0,17,32,13,54,25,29,13,13,7,11,14,20,12,8,10,7,6,30,14,0,4,1,4,3,2,2,1,1,2,1,1,1,2,2,1,1,291,144,8,5,15,13,21,9,11,10,11,22,10,15,15,23,5,10,7,3,2,10,41,9,30,9,14,16,10,17,13,54,13,8,5,9,5,4,4,6,11,8,5,10,5,1,1,7,1,1,1,1,1,0,109,3,15,22,21,11,15,15,25,8,32,2,2,6,10,5,6,6,6,7,5,6,4,2,18,3,1,1,1,1,1,4,18,3,5,3,4,34,3,2,4,9,3,10,6,1,6,1,10,5,3,3,1,1,1,1,0,0,0,0,13,12,3
