date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200513,AK,383,30266,,12,,,,,,338,10,,30649,30649,30649,2,0,0,688,0,688
20200513,AL,10617,125755,,,1317,,477,,284,,449,1317,136372,136372,136372,1,20,30,2847,307,3154
20200513,AR,4164,69051,,59,497,,,12,99,3220,95,497,73215,73215,73215,5,0,12,2771,0,2771
20200513,AS,0,105,,,,,,,,,0,,105,105,105,60,0,0,0,0,0
20200513,AZ,12176,115574,,755,1590,292,,191,,2979,594,1590,127750,127750,127750,4,32,26,4468,440,4908
20200513,CA,71141,994451,,4545,,1314,,,,,2934,,1065592,1065592,1065592,6,87,0,30463,1759,32222
20200513,CO,20157,91093,,688,3695,,,,,3171,1009,3695,111250,111250,111250,8,22,32,2315,278,2593
20200513,CT,34855,108088,,1158,9389,,,,,5413,3125,9389,142943,142943,142943,9,84,0,3997,522,4519
20200513,DC,6584,25074,,423,,,,82,,934,350,,31658,31658,31658,11,14,0,509,99,608
20200513,DE,6952,27801,,282,,467,,263,,2942,247,,34753,34753,34753,10,10,0,1251,211,1462
20200513,FL,42402,552361,1191,,7835,,,,,,1898,7835,595954,594763,594763,12,49,181,14680,479,15159
20200513,GA,35332,238572,,,6259,,1494,,,,1505,6259,273904,273904,273904,13,44,129,11028,697,11725
20200513,GU,152,4110,,,,,,,,124,5,,4262,4262,4262,66,0,0,171,0,171
20200513,HI,635,37730,,,81,,,,,563,17,81,38365,38365,38365,15,0,0,425,1,426
20200513,IA,13289,72430,,388,,133,,101,,5954,306,,85719,85719,85719,19,17,0,4054,377,4431
20200513,ID,2293,30835,,,214,,88,,,1536,69,214,33128,33128,33128,16,-1,4,390,33,423
20200513,IL,84698,404661,,4563,,1208,,714,,,3792,,489359,489359,489359,17,191,0,15991,1677,17668
20200513,IN,25473,128610,,1336,4389,481,990,217,,,1619,4389,154083,154083,154083,18,41,4389,3227,346,3573
20200513,KS,7468,50160,,,704,,238,,108,422,164,704,57628,57628,57628,20,6,44,3167,352,3519
20200513,KY,6853,103781,,379,1825,215,783,,,2546,321,1825,110634,110634,110634,21,10,58,6434,176,6610
20200513,LA,32662,205242,,1194,,,,147,,22608,2381,,237904,237904,237904,22,34,0,9280,612,9892
20200513,MA,80497,329535,,3101,8032,794,,,,,5315,8032,410032,410032,410032,25,174,190,7371,1165,8536
20200513,MD,34812,138762,,1550,6404,572,,,,2456,1809,6404,173574,173574,173574,24,53,117,3320,751,4071
20200513,ME,1515,22092,,41,204,20,,7,,943,66,204,23607,23607,23607,23,1,2,0,38,38
20200513,MI,48391,259869,,1384,,693,,525,,22686,4714,,308260,308260,308260,26,40,0,0,370,370
20200513,MN,12917,109118,,494,1851,199,647,,,8149,638,1851,122035,122035,122035,27,24,52,778,423,1201
20200513,MO,10142,114000,,771,,,,129,,,542,,124142,124142,124142,29,18,0,2710,136,2846
20200513,MP,19,3021,,,,,,,,12,2,,3040,3040,3040,69,0,0,167,0,167
20200513,MS,10090,89958,,604,1616,150,,79,,6268,465,1616,100048,100048,100048,28,8,34,2174,182,2356
20200513,MT,462,23390,,3,63,,,,,430,16,63,23852,23852,23852,30,0,0,816,1,817
20200513,NC,15816,194641,,521,,,,,,9115,597,,210457,210457,210457,37,20,0,7743,470,8213
20200513,ND,1647,47298,,37,127,,,,,969,40,127,48945,48945,48945,38,2,5,1037,76,1113
20200513,NE,8692,41033,,192,,81,,56,,,103,,49725,49725,49725,31,3,0,1662,120,1782
20200513,NH,3239,33977,51,121,319,,97,,,1234,142,319,37267,37216,37216,33,9,1,1576,79,1655
20200513,NJ,141560,299890,,4226,,1226,,928,,15642,9702,,441450,441450,441450,34,194,0,7573,817,8390
20200513,NM,5212,105077,,199,886,,,,,1434,219,886,110289,110289,110289,35,11,0,3425,143,3568
20200513,NV,6394,60278,,522,,121,,64,,198,321,,66672,66672,66672,32,9,0,2514,83,2597
20200513,NY,340661,918246,,6946,73963,2308,,1908,,59193,22013,73963,1258907,1258907,1258907,36,168,820,31618,2176,33794
20200513,OH,25721,200133,,924,4618,353,1248,244,,,1483,4618,225854,225854,225854,39,47,79,7652,471,8123
20200513,OK,4852,104275,,218,848,93,,,,3559,278,848,109127,109127,109127,40,0,20,12896,120,13016
20200513,OR,3416,80571,,162,678,38,,17,,1406,134,678,83987,83987,83987,41,4,5,6251,130,6381
20200513,PA,58698,244171,,2012,,,,473,,,3943,,302869,302869,302869,42,137,0,6182,707,6889
20200513,PR,2329,,,,,10,,6,,,115,,2329,2329,2329,72,1,0,0,30,30
20200513,RI,11835,86087,,269,1328,68,,48,,886,462,1328,97922,97922,97922,44,18,21,2462,221,2683
